TransactionID,ItemName,Category,Quantity,UnitPrice,TotalCost,PurchaseDate,Supplier,Buyer
TXN001,Desk Chair,FurnitIre,10,113.15,1131.5,2024-04-19,TechMart Inc.,Kelly Joseph
TXN002,Stapler,Ofice Supplies,16,12.62,201.92,2024-07-06,CloudSoft Corp.,Kelly Joseph
TXN003,Annual Software License,SofQware,1,5649.34,5649.34,2024-09-10,TechMart Inc.,Kelly Joseph
TXN004,Notepad,Stationeryf,13,2.92,37.96,2024-01-21,FurniWorks Ltd.,Luis Holland
TXN056,Notepad,5tationery,19,1.39,26.41,2024-02-03,TechMart Inc.,Cynthia Jenkins
TXN096,Printer,Electronicx,19,150.94,2867.86,2024-11-28,FurniWorks Ltd.,Stephanie Bennett
TXN007,Notepad,Stationrry,8,2.73,21.84,2024-02-19,OfficeSupplies Co.,Todd James
TXN008,Notepad,Stationepy,4,2.42,9.68,2024-09-11,FurniWorks Ltd.,Aaron Hopkins
TXN009,Printer Ink,Stationry,13,11.89,154.57,2024-04-12,FurniWorks Ltd.,Kevin Adams
TXN010,Whiteboard,Furniturf,19,100.82,1915.58,2024-12-14,FurniWorks Ltd.,Aaron Hopkins
TXN011,Annual Software License,Softwre,1,8183.91,8183.91,2024-01-13,QuickDeliver Ltd.,Aaron Hopkins
TXN012,Notepad,Statinery,14,2.92,40.88,2024-08-01,FurniWorks Ltd.,Walter Pena
TXN013,Stapler,Office 5upplies,15,8.4,126.0,2024-01-17,FurniWorks Ltd.,Jasmine Mcgee
TXN141,Whiteboard,Eurniture,20,111.86,2237.2,2024-04-12,FurniWorks Ltd.,Dawn Padilla
TXN015,Notepad,Stationeryl,17,1.41,23.97,2024-12-30,QuickDeliver Ltd.,Stephanie Bennett
TXN016,Monitor,ElGctronics,6,263.79,1582.74,2024-11-06,QuickDeliver Ltd.,Walter Pena
TXN017,Laptop Bag,Acessories,2,32.0,64.0,2024-08-10,FurniWorks Ltd.,Amy Warner
TXN018,Laptop Bag,Accessoriesi,16,42.02,672.32,2024-09-02,FurniWorks Ltd.,Lisa Parks
TXN019,Laptop,Electrnics,19,815.19,15488.61,2024-10-22,TechMart Inc.,Jasmine Mcgee
TXN020,Monitor,Eectronics,9,336.61,3029.49,2024-03-03,QuickDeliver Ltd.,Jasmine Mcgee
TXN021,Stapler,Office SuKplies,3,13.02,39.06,2024-05-26,CloudSoft Corp.,Dawn Padilla
TXN022,Printer,Electronics0,13,207.33,2695.29,2024-02-16,FurniWorks Ltd.,Kayla Hanson
TXN023,Whiteboard,Furniure,16,150.6,2409.6,2024-08-30,FurniWorks Ltd.,Dawn Padilla
