TransactionID,ItemName,Category,Quantity,UnitPrice,TotalCost,PurchaseDate,Supplier,Buyer
TXN001,Desk ChairX,Furnture,10,113.15,1131.5,2024-04-19,TechMart Inc.,Kelly Joseph
TXN002,St4pler,Office Suppliesi,16,12.62,201.92,2024-07-06,CloudSoft Corp.,Kelly Joseph
TXN003,AnnPal Software License,SFftware,1,5649.34,5649.34,2024-09-10,TechMart Inc.,Kelly Joseph
TXN004,NotepadZ,StatioYery,13,2.92,37.96,2024-01-21,FurniWorks Ltd.,Luis Holland
TXN005,Notead,Stationerya,19,1.39,26.41,2024-02-03,TechMart Inc.,Cynthia Jenkins
TXN006,Printer3,Electronicss,19,150.94,2867.86,2024-11-28,FurniWorks Ltd.,Stephanie Bennett
TXN007,Ntepad,Stationry,8,2.73,21.84,2024-02-19,OfficeSupplies Co.,Todd James
TXN008,Noepad,StationeryZ,4,2.42,9.68,2024-09-11,FurniWorks Ltd.,Aaron Hopkins
TXN009,Printer Inkv,Stationry,13,11.89,154.57,2024-04-12,FurniWorks Ltd.,Kevin Adams
TXN010,Whitebord,Eurniture,19,100.82,1915.58,2024-12-14,FurniWorks Ltd.,Aaron Hopkins
TXN011,Annual Software Licenze,Softwareh,1,8183.91,8183.91,2024-01-13,QuickDeliver Ltd.,Aaron Hopkins
TXN012,NotepadK,Stationeryl,14,2.92,40.88,2024-08-01,FurniWorks Ltd.,Walter Pena
TXN013,Staler,Office Suppliesi,15,8.4,126.0,2024-01-17,FurniWorks Ltd.,Jasmine Mcgee
TXN014,Whiteboarde,Furnitue,20,111.86,2237.2,2024-04-12,FurniWorks Ltd.,Dawn Padilla
TXN015,Motepad,tationery,17,1.41,23.97,2024-12-30,QuickDeliver Ltd.,Stephanie Bennett
TXN016,MonitorK,Eluctronics,6,263.79,1582.74,2024-11-06,QuickDeliver Ltd.,Walter Pena
TXN017,Laptop ag,Accessoriesi,2,32.0,64.0,2024-08-10,FurniWorks Ltd.,Amy Warner
TXN018,Laptop 8ag,AccessoriesC,16,42.02,672.32,2024-09-02,FurniWorks Ltd.,Lisa Parks
TXN019,LaptopG,Electronics0,19,815.19,15488.61,2024-10-22,TechMart Inc.,Jasmine Mcgee
TXN020,onitor,Electronicsa,9,336.61,3029.49,2024-03-03,QuickDeliver Ltd.,Jasmine Mcgee
TXN021,StaplerE,Office Supplmes,3,13.02,39.06,2024-05-26,CloudSoft Corp.,Dawn Padilla
TXN022,PrinterQ,Electronicsc,13,207.33,2695.29,2024-02-16,FurniWorks Ltd.,Kayla Hanson
TXN023,WhiteboardT,FurnitureY,16,150.6,2409.6,2024-08-30,FurniWorks Ltd.,Dawn Padilla
TXN024,Whiteboad,Furnituve,16,139.65,2234.4,2024-10-10,QuickDeliver Ltd.,Lisa Parks
TXN025,Ntepad,Statonery,18,1.15,20.7,2024-05-21,QuickDeliver Ltd.,Lisa Parks
TXN026,Desk Chir,Furnitur,15,106.14,1592.1,2024-08-25,OfficeSupplies Co.,Rebecca Bell
TXN027,Annual Software LicenseJ,Sofzware,1,5099.86,5099.86,2024-01-10,FurniWorks Ltd.,Stephanie Bennett
TXN028,Desk ChairN,Furnitue,6,187.26,1123.56,2024-08-10,TechMart Inc.,Dawn Padilla
TXN029,Laptop BagH,Accesories,5,30.33,151.65,2024-11-10,OfficeSupplies Co.,Stephanie Bennett
TXN030,Printerb,Electronis,4,232.03,928.12,2024-06-15,OfficeSupplies Co.,Aaron Hopkins
TXN031,Latop,Electronicsh,16,980.67,15690.72,2024-05-13,QuickDeliver Ltd.,Luis Holland
TXN032,Annual Sofeware License,SoftwareZ,1,5760.09,5760.09,2024-01-08,TechMart Inc.,Aaron Hopkins
