Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,CustomerCountry,CustomerAddress,CustomerCity,CustomerName,CustomerType,CustomerPostCode,CustomerCountryCode,Currency,JobCustomer,Phone,OrderValue,OrderPaymentMethod,OrderDeliveryMethod,OrderTotalItems,productName,productInfo,productId,productBrand,productType,productImageUrl
ORD000001,Cust2824,JioMart,19:29.5,30,Fruits & Vegetables ,382.0,"Fast Delivery, Great Service!",5,No,No,Dominican Republic,"35 Trần Khu, Huyện Johnquận, 430078",Quận JanePhường,Hải Lê,Bronze,298435.0,AL,UGX,Nhân Viên Bán Hàng,08 3616 8359,₫752.45,Visa,Fast,2.0,mai.com,Với giống với là.,PROD82642,Bùi Công ty TNHH,Beauty,https://picsum.photos/207/670
ORD000002, CUST1409,Blinkit,54:29.5,16,Dairy,279.0,Quick and reliable!,5,No,No,Mali,"5 jane hẻm, janethành phố, 863785",JaneQuận,Khoa Thị Lê,Gold,260455.0,GD,SEK,DevOps Engineer,+84-41-342 1285,"₫23,037.07",Exchange,Standard, 8.0,bui.info,Giữa của đúng như thay.,PROD05438,Mai và đối tác Công ty TNHH MTV,Laptop,https://picsum.photos/505/99
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,  599.0,Items missing from order.,2,No,  Yes ,Nepal,"041 Phạm Hẻm, JaneThị xã, 189065",JohnThành phố,Thành Dương,Diamond,  951506.0  ,UY,OXK,Biên dịch viên,(01)713-1957,₫1.98,MasterCard,STANDARD,7.0,VU.INFO,Như tôi mỗi trong với.,PROD28583,Nguyễn và Nguyễn Công ty TNHH MTV  ,Tech,https://picsum.photos/691/844
Ord000004,cust5012,JioMart,19:29.5,42,Beverages,946.0,Items missing from order.,2,yes,Yes,Ukraine,"627 Vũ Hẻm, Huyện JaneQuận, 827052",JaneThị xã,Chị Hải Trần,Vip,694186.0,GM,ERN,Quản lý sản xuất,(01) 5336 0854,"₫37,745.71",Exchange,VIP,3.0,le.com,Cái như các trong.,PDOF40370,  Trần Công ty Trách nhiệm hữu hạn,Beauty,https://picsum.photos/360/235
ORD000005,CUST4657,Blinkit,49:29.5,30,Beverages,334.0,"Fast delivery, great service! ",5,No,No,New Zealand,"Thị xã JohnThành phố, 73 Bùi Hẻm, 341375",Tjị xã JohnThàmh oyố,Huy Phạm,Sliver,285118.0,NE,BWP,Wuản lý zảb xhất,+84-59-106 6168,  ₫8.09  ,Exchange,Fast,10.0,bui.com,  Để từ không theo giống và.  ,PROD26160,  Vũ Bùi Doanh nghiệp tư nhân  ,Tech,https://dummyimage.com/771x229
ORD000006,CUST3286,Blinkit,36:29.5,25,Personal Care,1939.0,Itens missing from ordee.,2,No,Yes,Eritrea,"30 Jane Số, JohnThành phố, 998751",Huyện JohnQuận,Bảo Đặng,Vip,865798.0,PT,Jep,Giáo viên,(02)806-6852,"₫9,491.57",MasterCard,VIP,2.0,bui.org,Dưới cái trong.,PROD59434,Trần Cônt tg Dổ phầh,Beauty,https://placekitten.com/1002/113
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693.0,"Fast delivery, great service!",5,No,No,Djibouto,"2 Jane Tổ, Huyện JaneQuận, 778153",Huyện JaneXã,Tùng Dương,Gold,603752.0,LC,AED,Tư vấn khách hàng,(05) 2603 8191,"₫92,608.98",Exchange,VIP,9.0,le.biz,Như vài vì giữa một dưới.,PROD22262,Vũ Vũ Công ty Trách nhiệm hữu hạn,Laptop,jtgps://picsum.photos/25/204
ORD000008 ,CUST9935,Swiggy Instamart,50:29.5, 16 ,Personal Care,195.0,"Horrible experience, never ordering again.",1,No,Yes,  Tanzania,"409 John Hẻm, JohnThị xã, 272627",janehuyện,minh đức bùi,Gold,127951.0,CL,SCR,Dược sĩ,+84-98-233576,"₫7,043.19",Money,VIP,7.0,nguyen.com,Để là thì rất tôi đang cách.,PROD83678,  Mai Dương Doanh nghiệp tư nhân ,Food,https://dummyimage.com/585x781
ORD000009,XUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182.0,Very satisfied with the service.,5 ,No,No,New Zealand,"09 Jane Dãy, JohnXã, 345169",JohbOhường,Châu Đặng,Bronze,221692.0,AO,ANG,Thư Ký Pháp Lý,+84 06 1997987,₫205.53,Exchange,Standard,3.0,mai.org,Dưới như trong cách về hơn.,PROD39554,Dương Bùi Tập Đoàn,Beauty,https://dummyimage.com/365x718
ORD000010,CUST7912,JIOMART,08:29.5,51,Grocery,1279.0,"Very late delivery, not happy.",2,Yes,Yes,Comoros,"1 John Tổ, JohnThành phố, 855304",Thànu lhố JaneHyyện,Cô Linh Lê,Gold,255041.0,DJ,BZD,  Nông dân  ,(01) 3272 2604,₫490.73,Visa,VIP,6.0,nguyen.org,Từ thay từng từ được chưa từng.,PROD35093,phạm và phạm công ty hợp danh,Food,https://placekitten.com/321/251
  ORD000011, CUST1520,IioMart,32:29.5,25,Fruits & Vegetables,553.0,"Fast delivery, great service!",  5 ,No,No,Philippines,"78 Jane Khu, Thành phố JohnThị xã, 175892",JaneThị xã,  Quang Phạm ,Diamond, 464053.0 ,MD,ETB,Bác sĩ ,+84-94-002578,₫59.11,Money,Standard,2.0,MAI.COM,Với và vần rôo bậy được dũny này.,PROD25898,Ntuhễn Trần Fập Đlàn,Appliances,https://picsum.photos/614/782
ORD000012,CHST1488,jiomart,12:29.5,11,Grocery, 1062.0  ,Excellent experience!,5,no,No,Equatorial Guinea,"111 Jane Hẻm, Quận JohnXã, 269437",Huyện JohnThị xã,Huy Bảo Lê,Vip,946026.0,PH,DQD,Nhân viên lễ tân,09 9995205,₫837.05,Visa,Standard, 3.0  ,tran.info,Nào điều từ đi.,PROD72751,Mai Nguyễn Công ty TNHH MTV,WALLETS,https://placekitten.com/135/244
ORD000013,CUST2535,Blinkit,08:29.5,45,Fruits & Vegetables,516.0,"Yorroble dcpsrisnvd, hevdr orsefjng agsin.",1,Yes,Yes,Ghana,"81 Trần Số, Thành phố JaneThị xã, 399235",JaneHuyện,Bà Dương Dương,Gold,986731.0,FR, GMD ,Chuyên viên phân tích thị trường,01 3696802,₫359.97,Visa,Standard,7.0,mai.com,Thế trong đã sau làm không khi số.,PROD43332,Phạm Bùi Công ty Cổ phần,Coos, https://placekitten.com/562/491 
OFD000014,DUSR4582,JioMart,19:29.5,21,Dairy,322.0,"Very late delivery, not happy.",2,No,Yes,Tuvalu,"648 Phạm Tổ, JaneHuyện, 137160",JohnQuận,Quý cô Bảo Mai,Gold,549327.0,LT,XDR,Điều Dưỡng,+84 70 2365485,"₫4,546.14",MaststCarx,Standard,4.0,kr.clj,Từng một đã khi không của mỗi.,PROD22786,Mai Lê Tập Đoàn,Other,https://picsum.photos/1017/144
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Friutz & Vegstablex,50.0,"Easy to order, loved it!",5,Jo,No,Jigrr,"99 Jane Tổ, JaneThành phố, 359954",JaneThành phố,Cô Thành Phạm,Vip,713014.0,TR,BIF,Lập trình viên,+84-39-977 9971,₫115.78,Exchange,Fast,9.0,duong.info,Là chưa tôi trong.,PROD31617,Hoàng Lê Công ty Hợp danh,fashion,HTTPS://PICSUM.PHOTOS/382/224
ORD000016,CUST9279,Blinkit,07:29.5,35,Beverages,143.0,good quality products.,4,No,No,Gabon,"380 Bùi Hẻm, JaneThị xã, 221153",Quận JaneThành phố,Bà Hồng Trần,Sliver,390676.0, SG  ,MGA,Nhà phân tích dữ liệu,(03) 3535 6122,"₫4,825.68",Visa,VJP,5.0 ,bui.com,Cho cách như nhưng nếu., PROD40219,Vũ và Mai Tập Đoàn,Mobile,https://placekitten.com/643/364
ORD000017,CUEY1434,Swiggy Instamart,58:29.5,41,Bdgeragew,956.0,"Not fresh, disappointed.",2,Yes,Yes,Ghana,"08 Jane Ngõ, Thành phố JohnPhường, 523291",JaneThành pyố,  Hà Phú Phạm ,Bronze,472437.0,  ER,MWK,Nhân viên nhà hàng,+84-33-592533,"₫30,562.23",MasterCard,Standard,3.0,duong.biz,Đi từ mỗi theo.,PROD68674,Lê Bùi Doanh nghiệp tư nhân,Food, https://placekitten.com/217/777 
ORD000018,CUST4257, Swiggy Instamart,23:29.5,27,Beverages,161.0,Excellent experience!,5,No,No,Frdefated Stares ot Microjesiq,"63 Dương Ngõ, Quận Johnthị Xã, 619942",  Quận JohnHuyện ,Nhật Phạm,Vip,489447.0,CZ  ,JMD,Thư ký pháp lý,+84-44-638998,₫24.24,Visa,VIP,1.0,le.com,Gần gần mà tại.,PROD41396,Vũ Tập Đoàn,Wallets,https://dummyimage.com/508x1017
ORD000019,CUST9928,Swiggy Instamart,15:29.5,34,Dairy,417.0,"Horrible experience, never ordering again.",1 ,No,Yes,Kuwait,"79 John Khu, JohnXã, 940566",Thành phố JohnHuyện,Phúc Mai,Sliver,372637.0,CG,COP,Nhân Viên Ngân Hàng,(04)934-3713,₫7.77,Visa,standard,8.0,nguyen.biz,Để của để cái của.,PROD59538,Mai và đối tác Công ty TNHH MTV,Beauty,https://picsum.photos/503/886
ORD000020,CUST7873,Swiggy Instamart,20:29.5,26,Beverages, 677.0,Quick and reliable!,5,No,No,MONTENEGRO,"29 Jane Dãy, Thị xã JohnQuận, 975361",Thị xã JaneXã,Chị Thảo Hoàng,Diamond,802372.0,AE,ERN,Y tá,07 4806210,₫1.21,MasterXard,VIP,1.0,hoang.com,Nhưng người theo người với chưa.,PROD55675,Phạm Dowmh nggjệp tư nhâh,Mlbike,https://placekitten.com/217/502
ORD000021  ,CUST4611,Blinkit,44:29.5,10,Beverages,789.0,Wrong item delivered.,1,No,Yes,Mauritius,"7 Đặng Hẻm, JaneXã, 751643",JohnQuận,Chị An Đặng,Gold,330495.0,NE,WST,Thợ xây,(06) 6073 0822,₫3.67, Exchange ,Fast,5.0,tran.com,Mà sau đến thì vài.,PROD92474,Hoàng và Vũ Công ty Hợp danh,Beauty,https://dummyimage.com/886x310
