Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,CustomerCountry,CustomerAddress,CustomerCity,CustomerName,CustomerType,CustomerPostCode,CustomerCountryCode,Currency,JobCustomer,Phone,OrderValue,OrderPaymentMethod,OrderDeliveryMethod,OrderTotalItems,productName,productInfo,productId,productBrand,productType,productImageUrl
ORD000514,CUST9890,Blinkit,06:29.5,17,Dairy,289,Delivery person was rude.,2,No,Yes,Tunisia,"256 John Hẻm, JaneThành phố, 897087",Thành phố JaneHuyện,Tú Bùi,Gold,971477,IT,MMK,Thực Tập,07 9588521,₫7.55,Exchange,VIP,4,duong.com,Cho trong để cách theo.,PROD80308,Trần và Hoàng Doanh nghiệp tư nhân,Laptop,https://placekitten.com/45/791
ORD000343,CUST6974,JioMart,24:29.5,37,Dairy,338,Very satisfied with the service.,5,No,No,Tajikistan,"6 Jane Đường, JanePhường, 861424",JanePhường,Quý cô Linh Lê,Sliver,730830,CV,KZT,Luật sư,(04) 6474 6296,₫5.34,MasterCard,VIP,9,mai.com,Với chỉ vậy được như hơn các nếu.,PROD23430,Mai và đối tác Công ty TNHH MTV,Wallets,https://picsum.photos/319/860
ORD000178,CUST4750,Swiggy Instamart,30:29.5,27,Dairy,581,Excellent experience!,5,No,No,Equatorial Guinea,"45 John Dãy, Thị xã JaneThị xã, 413552",JohnThành phố,Bà Dương Hoàng,Sliver,827694,OM,AZN,Nghệ sĩ,+84 11 1621642,"₫19,967.83",MasterCard,VIP,7,nguyen.biz,Tại không thế lớn số rất như vẫn.,PROD62252,Mai Công ty Cổ phần,Wallets,https://picsum.photos/436/546
ORD000087,CUST3340,JioMart,38:29.5,51,Beverages,640,Wrong item delivered.,1,Yes,Yes,Comoros,"221 Vũ Ngõ, Thị xã JohnPhường, 372011",Thị xã JaneThành phố,Nhật Thị Mai,Diamond,446567,GH,VEF,Nhân viên ngân hàng,03 0881 6716,"₫2,443.22",MasterCard,VIP,3,duong.net,Thay nhiều về rất để tôi đã một.,PROD76740,Vũ Hoàng Công ty Hợp danh,Food,https://placekitten.com/566/4
ORD000334,CUST3442,JioMart,03:29.5,28,Fruits & Vegetables,83,Packaging could be better.,3,No,No,Mongolia,"99 Nguyễn Làng, Thành phố JaneThành phố, 833391",JaneThị xã,Chị Yến Hoàng,Sliver,597719,RW,NIO,Chuyên viên bảo mật,+84 05 1673319,₫789.66,Exchange,Fast,4,le.com,Cách không rất hơn.,PROD27341,Dương và đối tác Công ty TNHH,Beauty,https://picsum.photos/552/95
ORD000141,CUST6947,JioMart,20:29.5,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes,Tuvalu,"16 Jane Làng, JaneThị xã, 556703",Quận JohnQuận,Cô Khoa Vũ,Diamond,902591,MX,COP,Quản lý sản xuất,+84-72-359 9328,₫43.02,Exchange,VIP,10,hoang.org,Cho để bạn sẽ người.,PROD51127,Mai và Vũ Công ty Hợp danh,Beauty,https://placekitten.com/313/774
ORD000322,CUST5533,JioMart,07:29.5,38,Beverages,825,Items missing from order.,2,No,Yes,Germany,"9 John Làng, Thị xã JanePhường, 977560",Huyện JohnQuận,Bảo Văn Bùi,Sliver,602579,EE,AMD,Biên dịch viên,+84-95-033 2039,₫2.11,Visa,Fast,6,duong.com,Sẽ cách bên sau tự.,PROD51896,Trần và Trần Công ty TNHH,Wallets,https://placekitten.com/376/932
ORD000532,CUST8999,Swiggy Instamart,44:29.5,40,Personal Care,1381,Items missing from order.,2,No,Yes,Democratic Republic of the Congo,"698 Hoàng Làng, JohnHuyện, 458656",Thành phố JohnThị xã,Chị Mai Trần,Gold,655529,PA,DZD,Biên dịch viên,+84-81-086 7242,"₫5,386.26",Visa,Fast,8,mai.com,Từng cái thế hơn bên thì.,PROD42084,Dương Vũ Công ty TNHH MTV,Other,https://dummyimage.com/213x589
ORD000102,CUST2796,JioMart,52:29.5,5,Personal Care,377,Items missing from order.,2,No,Yes,Vietnam,"0 Jane Đường, Thị xã JaneThị xã, 692315",JohnThành phố,Quý cô Bảo Dương,Sliver,765366,SN,GNF,Giảng viên,(04) 2148 4975,"₫50,522.75",Visa,Fast,10,dang.com,Như đang với vì tại rất có.,PROD60158,Vũ Đặng Công ty Trách nhiệm hữu hạn,Appliances,https://placekitten.com/697/931
ORD000520,CUST7381,JioMart,17:29.5,16,Beverages,623,"Horrible experience, never ordering again.",1,No,Yes,Myanmar,"372 Jane Dãy, Thị xã JaneXã, 319022",JohnPhường,Hạnh Bảo Vũ,Gold,270157,BW,MMK,Kiến trúc sư,+84-47-025090,"₫88,421.98",MasterCard,Standard,10,tran.info,Như được nếu bạn từng rất.,PROD44975,Hoàng và đối tác Công ty Cổ phần,Beauty,https://placekitten.com/793/203
ORD000412,CUST6143,Swiggy Instamart,31:29.5,5,Snacks,104,"Fast delivery, great service!",5,No,No,Seychelles,"553 John Ngõ, Quận JanePhường, 485467",Thị xã JaneThành phố,Quý cô Nhật Hoàng,Diamond,521322,SV,QAR,Tester,00 2528956,"₫76,991.91",Money,VIP,6,duong.org,Của vẫn các khi được để như.,PROD06285,Hoàng Công ty TNHH,Wallets,https://placekitten.com/579/845
ORD000555,CUST7211,Blinkit,06:29.5,16,Snacks,101,"Fast delivery, great service!",5,No,No,Monaco,"09 Dương Tổ, Thị xã JaneThành phố, 818310",Thị xã JaneThành phố,Phúc Mai Bảo Lê,Vip,650999,MZ,XPF,Lập trình viên,+84 27 5452582,₫949.47,Visa,Fast,4,tran.org,Được số chưa không chỉ.,PROD84973,Đặng và đối tác Tập Đoàn,Other,https://placekitten.com/196/699
ORD000156,CUST9645,JioMart,11:29.5,22,Grocery,583,Good quality products.,4,No,No,Kuwait,"0 Dương Đường, Huyện JohnHuyện, 195450",Huyện JaneXã,Kim Lê,Bronze,328118,ER,JOD,Nhà thiết kế đồ họa,(00) 3260 5483,"₫58,036.32",MasterCard,Fast,5,hoang.info,Theo về sau vậy.,PROD00440,Lê và đối tác Công ty Cổ phần,Other,https://dummyimage.com/132x845
